disease,crop,description,symptoms,causes,favorable_conditions,prevention,management,treatment
Nutrient Deficiency,Various crops,A nutritional disorder caused by insufficient availability or uptake of one or more essential plant nutrients.,"Depending on the nutrient, plants may show chlorosis, necrosis, stunting, poor root growth, abnormal leaf coloration, or reduced yield.","Low soil nutrient levels, unsuitable soil pH, nutrient lock-up, poor root health, or imbalanced fertilization can cause deficiency.","Very acidic or alkaline soils, poor soil structure, waterlogging, drought, and low nutrient availability can increase risk.","Use soil testing, balanced fertilization, appropriate pH management, organic matter management, and good root-zone conditions.","Confirm the suspected nutrient deficiency with soil or plant analysis where possible, then correct the specific nutrient imbalance.",Apply the deficient nutrient at a crop-appropriate rate based on soil or plant testing and local fertilizer recommendations.
Root Rot,Various crops,"A root disease complex in which roots decay, reducing water and nutrient uptake.","Wilting, yellowing, stunting, poor vigor, dark or soft roots, and root tissue decay.","Can be caused by several soil-borne fungi or oomycetes, often associated with excessive soil moisture.","Waterlogged or poorly drained soil, overirrigation, compacted soil, and infected planting material can favor root rot.","Improve drainage, avoid overwatering, use healthy planting material, sanitize growing media, and use resistant varieties where available.","Improve drainage and irrigation practices, remove severely affected plants, and maintain root-zone sanitation.",Treatment depends on the pathogen and crop; use only locally registered products or biological measures appropriate for the confirmed cause.
Downy Mildew,Various crops,A group of oomycete diseases that commonly cause leaf lesions and downy growth under humid conditions.,"Yellow or pale angular leaf spots, brown lesions, and gray, white, or purplish downy growth on leaf undersides may occur.",Caused by downy mildew oomycetes that produce spores under favorable environmental conditions.,"Cool to moderate temperatures, high humidity, rain, and prolonged leaf wetness favor infection and spread.","Improve airflow, avoid unnecessary overhead irrigation, use healthy planting material, and remove infected debris.","Scout early, reduce leaf wetness, improve canopy ventilation, and follow local disease-management recommendations.","Where registered, fungicides or oomycete-targeted products may be used preventively or early; rotate modes of action and follow labels."
Bacterial Wilt,Various crops,A bacterial vascular disease that can cause rapid wilting while leaves may initially remain green.,"Sudden wilting, drooping leaves, vascular discoloration, and sometimes bacterial streaming from cut stems.",Caused by bacterial pathogens that colonize vascular tissues and may survive in soil or plant material.,"Warm conditions, wet soil, contaminated planting material, infected soil, and movement of contaminated water or tools can increase spread.","Use healthy planting material, sanitation, resistant varieties where available, crop rotation where effective, and avoid moving contaminated soil or water.","Remove affected plants, sanitize tools, manage irrigation and drainage, and control sources of contaminated soil or water.","There is generally no reliable curative treatment for an infected vascular plant; management focuses on sanitation, resistance, and prevention."
Sooty Mold,Various crops,A dark superficial fungal growth that commonly develops on honeydew deposited by sap-sucking insects.,"Black, soot-like coating on leaves, stems, or fruit surfaces; heavy growth can reduce light interception and photosynthesis.","Fungi grow on sugary honeydew produced by insects such as aphids, whiteflies, and scale insects.",High populations of honeydew-producing insects and humid conditions favor development.,"Monitor and manage the underlying insect infestation, encourage natural enemies, and maintain good plant hygiene.",Control the honeydew-producing pest using integrated pest management; the mold usually declines once honeydew production stops.,Treat the underlying insect problem rather than the mold alone. Use locally approved pest-control products when necessary.
Rust,Various crops,A group of fungal diseases that produce characteristic rust-colored spore-producing lesions.,"Orange, yellow, brown, or reddish pustules on leaves or stems, sometimes followed by yellowing and premature leaf loss.",Caused by rust fungi that produce spores and may require specific host plants or environmental conditions.,"High humidity, leaf wetness, moderate temperatures, and susceptible plant varieties can favor infection.","Use resistant varieties, maintain airflow, remove volunteer hosts where appropriate, and manage crop debris according to local recommendations.","Scout regularly, remove severely affected material where practical, and follow local rust-management programs.",Registered fungicides may be useful for some crops when applied at the correct stage; follow local labels and rotate modes of action.
Thrips Infestation,Various crops,An insect pest problem caused by tiny thrips that feed by rasping and sucking plant tissues.,"Silvery or bronzed leaf areas, distorted young leaves, flower damage, scarring, black fecal spots, and poor fruit quality.","Thrips feed on leaves, flowers, and developing fruits; some species can also transmit plant viruses.","Warm, dry conditions, flowering crops, weeds, and protected plant environments can support populations.","Scout flowers and young leaves, control weeds, use reflective or physical barriers where suitable, and conserve beneficial insects.","Use integrated pest management with monitoring, sanitation, biological control, and selective treatments when thresholds are reached.",Use only locally registered insecticides for the specific crop and thrips species; rotate modes of action to reduce resistance.
Aphid Infestation,Various crops,Aphids are small sap-sucking insects that can weaken plants and may transmit plant viruses.,"Clusters of small insects on tender growth, curled or distorted leaves, yellowing, sticky honeydew, and sooty mold.",Aphids colonize young shoots and undersides of leaves and reproduce rapidly under favorable conditions.,"Tender new growth, moderate temperatures, excess nitrogen, and limited natural-enemy activity can favor aphid outbreaks.","Inspect new growth, manage weeds, avoid excessive nitrogen, and conserve ladybirds, lacewings, parasitoids, and other natural enemies.","Monitor populations, use physical removal for small infestations, conserve natural enemies, and use selective controls when necessary.","If treatment is justified, use a crop-specific, locally approved insecticide and follow resistance-management and label directions."
Bacterial Leaf Spot,Various crops,A group of bacterial diseases that cause discrete leaf spots and can reduce photosynthetic area.,"Small water-soaked or dark spots that may enlarge, become brown, develop yellow halos, and sometimes cause leaf drop.","Caused by plant-pathogenic bacteria that spread through infected seed or plant material, rain splash, irrigation, tools, or handling.","Warm, humid weather, frequent rain, prolonged leaf wetness, and dense plantings favor disease spread.","Use clean seed and planting material, avoid working in wet crops, sanitize tools, improve airflow, and manage irrigation.","Remove severely infected material, reduce leaf wetness, maintain sanitation, and use resistant varieties where available.","Copper or other bactericidal products may be registered for some crop-disease combinations; effectiveness varies, so follow local recommendations and labels."
Whitefly Infestation,Various crops,"Whiteflies are small sap-sucking insects that weaken plants, produce honeydew, and can transmit viruses.","Small white insects on leaf undersides, yellowing, leaf weakening, sticky honeydew, sooty mold, and possible virus symptoms.",Whiteflies feed on plant sap and reproduce rapidly on suitable host plants.,"Warm weather, dense vegetation, weeds, and protected cultivation can favor population growth.","Monitor leaf undersides, manage weeds and crop residues, use insect-proof barriers where suitable, and conserve natural enemies.","Use integrated pest management with monitoring, biological control, sanitation, and selective treatments when thresholds are exceeded.","Use only locally approved insecticides for the specific crop and whitefly species, and rotate modes of action to slow resistance."
