label,text
Root Rot,The crop condition includes bad smell from roots The problem is visible on the underground roots.
Thrips Infestation,I noticed distorted new growth in the field Plant growth is slowing.
Powdery Mildew,Several plants have white spots spreading across leaves.
Fungal Wilt,The crop shows brown discoloration inside stems The problem is visible on the branches.
Leaf Curl,The leaves or stems show new growth becoming twisted The problem is becoming more noticeable.
Downy Mildew,The leaves or stems show grayish coating on leaf undersides Plant growth is affected.
Bacterial Wilt,The field currently has plants with plant remaining wilted after watering The problem is becoming more noticeable.
Bacterial Leaf Spot,The crop is developing small water soaked spots on leaves The problem is visible on the leaf margins.
Root Rot,The leaves or stems show black roots Affected plants may die.
Nutrient Deficiency,"After checking the field, I observed uniform leaf discoloration The affected leaves look unhealthy."
Thrips Infestation,The main symptom is leaf curling with insects Plant growth is affected.
Thrips Infestation,Recently the plants developed brown feeding marks Plant growth is affected.
Mosaic Virus,The main symptom is patchy yellow patterns The affected new shoots are showing damage.
Leaf Blight,Many plants in the field show dark lesions on foliage.
Rust,The crop condition includes yellow orange pustules Infected leaves are becoming weak.
Rust,The crop is developing reddish brown spots Farmers are concerned about the crop condition.
Powdery Mildew,The plants are showing white fungal coating The affected leaves look unhealthy.
Bacterial Wilt,"After checking the field, I observed branches becoming limp The plant is losing vigor."
Stem Borer,The farmer noticed dead central shoot yesterday.
Bacterial Leaf Spot,The crop is developing brown patches surrounded by yellow tissue Plant growth is affected.
Thrips Infestation,"During inspection, I found black specks on leaves The symptoms are visible across several plants."
Bacterial Wilt,The crop appears to have vascular discoloration inside stems The plant is losing vigor.
Whitefly Infestation,"After checking the field, I observed cloud of white insects The affected leaves look unhealthy."
Whitefly Infestation,The crop appears to have small white flies rising when disturbed Farmers are concerned about the crop condition.
Damping Off,"During inspection, I found seedlings collapsing The plant is losing vigor."
Leaf Blight,The crop shows dry patches spreading Farmers are concerned about the crop condition.
Fungal Wilt,Several plants have stem tissue becoming brown The plant is losing vigor.
Fungal Wilt,There is an increasing problem with yellowing foliage.
Late Blight,The crop condition includes blackened foliage The problem is visible on the leaves.
Fungal Wilt,The plants are showing leaves wilting gradually The plant is slowly declining.
Fusarium Wilt,"After checking the field, I observed slow decline of the plant."
Sooty Mold,Several plants have dark coating around honeydew The affected stems are showing damage.
Late Blight,The crop appears to have brown lesions after wet weather The problem is visible on the fruits.
Leaf Blight,Field inspection revealed dark lesions on foliage The problem is becoming more noticeable.
Sooty Mold,"After checking the field, I observed black growth on stems Foliage looks black and dirty."
Leaf Blight,The crop condition includes dead tissue on foliage Plant growth is affected.
Leaf Blight,I can see leaves becoming brittle on the crop The symptoms are visible across several plants.
Aphid Infestation,The affected plants are showing sticky residue on stems Farmers are concerned about the crop condition.
Nutrient Deficiency,The leaves or stems show yellow leaves The affected leaves look unhealthy.
Thrips Infestation,A noticeable problem is leaf curling with insects.
Fruit Borer,Several plants have early fruit dropping The problem is visible on the fruits.
Leaf Curl,There are clear signs of young leaves becoming curled The symptoms are visible across several plants.
Damping Off,The plants have started showing weak stems in young plants The symptoms are visible across several plants.
Bacterial Leaf Spot,Several plants have wet looking lesions on foliage Farmers are concerned about the crop condition.
Leaf Blight,The farmer reports leaf edges turning brown Farmers are concerned about the crop condition.
Thrips Infestation,The field currently has plants with leaf curling with insects The problem is becoming more noticeable.
Late Blight,The plants currently have white fungal growth during humid weather Infected plant parts are turning dark.
Root Rot,The crop is developing poor root development The affected plant base look unhealthy.
Downy Mildew,The plants currently have angular yellow spots Plant growth is affected.
Sooty Mold,There are clear signs of dark coating around honeydew The affected stems are showing damage.
Fungal Wilt,The crop appears to have lower leaves turning yellow The problem is becoming more noticeable.
Stem Borer,The farmer reports frass coming from stem openings.
Leaf Curl,Several plants have abnormally curled plant tips The problem is visible on the plant tips.
Fusarium Wilt,The leaves or stems show leaf curling with wilt.
Leaf Curl,Recently the plants developed twisted shoots The problem is visible on the leaf margins.
Powdery Mildew,The plants currently have white spots spreading across leaves The plant is losing vigor.
Leaf Blight,The affected crop has dark lesions on foliage Photosynthesis appears reduced.
Leaf Blight,The crop condition includes leaves becoming brittle The affected lower foliage are showing damage.
Rust,The crop condition includes rust colored dust Plant growth is affected.
Damping Off,The plants are showing rotting seedling bases Plant growth is affected.
Downy Mildew,The farmer noticed angular yellow spots yesterday The symptoms are visible across several plants.
Whitefly Infestation,The plants are showing white insects clustered beneath foliage The affected stems are showing damage.
Aphid Infestation,The farmer noticed soft bodied insects under leaves yesterday The plant is losing vigor.
Fruit Borer,The leaves or stems show dark entry holes The affected fruit pulp look unhealthy.
Thrips Infestation,The farmer reports silver streaks on leaves Affected foliage is becoming weak.
Rust,The farmer noticed orange powder under leaves yesterday The affected lower foliage look unhealthy.
Fusarium Wilt,The field currently has plants with stem discoloration Plant growth is affected.
Stem Borer,Field inspection revealed yellowing above damaged stems The affected plant stalks are showing damage.
Stem Borer,The leaves or stems show sawdust near stem holes The problem is becoming more noticeable.
Sooty Mold,There are clear signs of dark fungal layer on foliage The plant is losing vigor.
Thrips Infestation,I can see rough feeding scars on the crop The problem is visible on the young shoots.
Sooty Mold,The plants have started showing gray black film on leaves The problem is becoming more noticeable.
Fungal Wilt,There are clear signs of slow plant decline Farmers are concerned about the crop condition.
Fruit Borer,The crop appears to have damaged young fruits The symptoms are visible across several plants.
Mosaic Virus,Field inspection revealed light and dark green patches New leaves are distorted.
Aphid Infestation,"During inspection, I found yellowing leaves."
Root Rot,"During inspection, I found plant wilting despite watering The plant is losing vigor."
Fungal Wilt,The crop shows leaves wilting gradually The affected leaves look unhealthy.
Rust,The plants are showing brown rust marks.
Powdery Mildew,The crop shows powdery patches on foliage The symptoms are visible across several plants.
Whitefly Infestation,"During inspection, I found cloud of white insects The plant is losing vigor."
Nutrient Deficiency,A noticeable problem is weak stems The symptoms are visible across several plants.
Whitefly Infestation,Several plants have whitefly nymphs on leaf undersides Sticky honeydew is appearing.
Powdery Mildew,The plants have started showing dusty layer on leaves.
Damping Off,Field inspection revealed young seedlings suddenly dying The symptoms are visible across several plants.
Leaf Blight,Field inspection revealed irregular brown lesions.
Powdery Mildew,"During inspection, I found flour like growth on leaves The symptoms are visible across several plants."
Rust,"After checking the field, I observed reddish lesions The problem is becoming more noticeable."
Sooty Mold,Many plants in the field show dark coating around honeydew Farmers are concerned about the crop condition.
Bacterial Wilt,The farmer reports sudden wilting of the plant The affected stems look unhealthy.
Aphid Infestation,The crop shows distorted new growth The affected stems are showing damage.
Fusarium Wilt,I noticed brown streaks inside stems in the field The affected whole plant look unhealthy.
Damping Off,The crop appears to have brown tissue around seedling bases The affected seedling roots look unhealthy.
Nutrient Deficiency,The crop appears to have older leaves turning yellow The problem is visible on the young leaves.
Late Blight,Field inspection revealed brown lesions after wet weather The problem is becoming more noticeable.
Bacterial Leaf Spot,I can see dark brown spots on foliage on the crop The affected leaves are showing damage.
Rust,The farmer reports rusty patches on foliage Farmers are concerned about the crop condition.
Stem Borer,There is an increasing problem with dead central shoot The affected stems are showing damage.
Downy Mildew,The farmer reports pale yellow leaf lesions The symptoms are visible across several plants.
Downy Mildew,I noticed pale yellow leaf lesions in the field The plant is losing vigor.
Sooty Mold,"During inspection, I found black coating on leaves The affected leaves are showing damage."
Downy Mildew,The field currently has plants with angular yellow spots Plant growth is affected.
Thrips Infestation,The crop shows black specks on leaves Plant growth is affected.
Powdery Mildew,The affected plants are showing powder like substance on foliage Farmers are concerned about the crop condition.
Whitefly Infestation,The farmer noticed leaf yellowing with whiteflies yesterday.
Fruit Borer,There is an increasing problem with webbing near fruit holes The symptoms are visible across several plants.
Fusarium Wilt,Recently the plants developed lower leaves becoming yellow The problem is visible on the vascular tissue.
Late Blight,The plants have started showing water soaked leaf patches The disease is spreading rapidly.
Nutrient Deficiency,Recently the plants developed slow plant growth Plant growth is affected.
Aphid Infestation,The plants are showing soft bodied insects under leaves Plant growth is affected.
Bacterial Wilt,I can see rapid plant collapse on the crop The plant does not recover after watering.
Thrips Infestation,There is an increasing problem with silvery patches on foliage Plant growth is affected.
Mosaic Virus,There is an increasing problem with patchy yellow patterns Farmers are concerned about the crop condition.
Whitefly Infestation,I noticed small white insects on plant leaves in the field The affected leaves look unhealthy.
Fungal Wilt,Field inspection revealed brown discoloration inside stems The affected branches are showing damage.
Stem Borer,There is an increasing problem with insect tunnels inside stems The symptoms are visible across several plants.
Late Blight,The crop appears to have brown lesions after wet weather The problem is becoming more noticeable.
Rust,There is an increasing problem with small orange fungal spots The problem is visible on the lower foliage.
Mosaic Virus,The crop is developing yellow green leaf markings The problem is becoming more noticeable.
Rust,The crop is developing rusty patches on foliage The affected lower foliage are showing damage.
Mosaic Virus,The main symptom is yellow green leaf markings.
Sooty Mold,Field inspection revealed black growth on stems Affected leaves have reduced photosynthesis.
Powdery Mildew,The field currently has plants with white growth on stems Plant growth is affected.
Bacterial Wilt,The leaves or stems show rapid plant collapse The crop is losing vigor.
Root Rot,The crop appears to have soft rotten roots The symptoms are visible across several plants.
Damping Off,Many plants in the field show soft stems near the soil Farmers are concerned about the crop condition.
Root Rot,"After checking the field, I observed black roots Farmers are concerned about the crop condition."
Fungal Wilt,The crop shows lower leaves turning yellow The plant is slowly declining.
Root Rot,I can see poor root development on the crop The plant is losing vigor.
Leaf Curl,"After checking the field, I observed twisted shoots The problem is becoming more noticeable."
Stem Borer,The farmer reports insect tunnels inside stems The affected plant stalks look unhealthy.
Mosaic Virus,The crop shows mosaic pattern on leaves The plant is losing vigor.
Aphid Infestation,Several plants have soft bodied insects under leaves The problem is becoming more noticeable.
Leaf Curl,I noticed new growth becoming twisted in the field The affected young leaves are showing damage.
Sooty Mold,The crop shows black coating on leaves Plant growth is affected.
Fusarium Wilt,There is an increasing problem with stem discoloration Plant growth becomes stunted.
Bacterial Leaf Spot,The affected plants are showing brown patches surrounded by yellow tissue The plant is losing vigor.
Stem Borer,I noticed hollow stems in the field Stems become weak.
Nutrient Deficiency,"During inspection, I found yellow leaves."
Leaf Blight,The crop appears to have dark lesions on foliage The symptoms are visible across several plants.
Aphid Infestation,A noticeable problem is sticky honeydew on foliage The symptoms are visible across several plants.
Nutrient Deficiency,The farmer reports poor leaf development Plant growth is slower than expected.
Nutrient Deficiency,The plants are showing young leaves remaining pale The symptoms are visible across several plants.
Root Rot,The leaves or stems show plant easily pulling from soil The affected root tips look unhealthy.
Aphid Infestation,The crop condition includes ants around the plant The problem is becoming more noticeable.
Stem Borer,"During inspection, I found frass coming from stem openings Farmers are concerned about the crop condition."
Leaf Blight,The plants are showing leaves becoming brittle The problem is becoming more noticeable.
Fruit Borer,I noticed insect larvae inside fruits in the field The problem is becoming more noticeable.
Damping Off,Recently the plants developed seedlings collapsing The problem is becoming more noticeable.
Downy Mildew,The main symptom is grayish coating on leaf undersides The affected lower leaves are showing damage.
Fusarium Wilt,There are clear signs of yellowing of older leaves Farmers are concerned about the crop condition.
Rust,The affected plants are showing orange powder under leaves The plant is losing vigor.
Fusarium Wilt,The main symptom is persistent daytime wilt The affected stems look unhealthy.
Leaf Curl,The crop shows twisted shoots.
Fruit Borer,Several plants have rotting around insect holes The affected fruit surface are showing damage.
Mosaic Virus,Recently the plants developed mottled foliage The problem is visible on the young foliage.
Sooty Mold,The plants are showing dark fungal layer on foliage The plant is losing vigor.
Stem Borer,The main symptom is yellowing above damaged stems The plant is losing vigor.
Powdery Mildew,The crop condition includes whitish coating on young shoots Affected leaves are becoming weak.
Leaf Curl,Field inspection revealed leaves rolling inward The problem is becoming more noticeable.
Bacterial Leaf Spot,I noticed wet looking lesions on foliage in the field.
Thrips Infestation,The leaves or stems show distorted new growth The problem is becoming more noticeable.
Damping Off,The affected crop has weak stems in young plants The plant is losing vigor.
Thrips Infestation,The farmer noticed black specks on leaves yesterday The problem is visible on the buds.
Rust,The plants have started showing rust colored dust The affected leaf surfaces are showing damage.
Stem Borer,Many plants in the field show frass coming from stem openings The problem is becoming more noticeable.
Nutrient Deficiency,"During inspection, I found poor leaf development The affected young leaves look unhealthy."
Nutrient Deficiency,I can see weak stems on the crop Plant growth is affected.
Root Rot,The farmer noticed dark damaged roots yesterday The crop is losing vigor.
Powdery Mildew,The crop is developing white fungal patches on upper leaves New shoots are becoming affected.
Stem Borer,The leaves or stems show holes in stems The affected central shoots look unhealthy.
Fungal Wilt,Several plants have plant becoming weak Wilting is becoming more severe.
Sooty Mold,The crop shows black patches on leaf surfaces.
Fungal Wilt,Several plants have plant becoming weak The problem is visible on the leaves.
Root Rot,Recently the plants developed black roots The problem is becoming more noticeable.
Root Rot,Several plants have soft rotten roots.
Bacterial Wilt,The crop shows plant remaining wilted after watering The problem is visible on the stems.
Bacterial Leaf Spot,The crop condition includes brown patches surrounded by yellow tissue The affected leaf margins are showing damage.
Leaf Blight,"After checking the field, I observed dark lesions on foliage The problem is becoming more noticeable."
Leaf Curl,The plants are showing new growth becoming twisted Plant growth is affected.
Whitefly Infestation,The farmer reports white insects under leaves The affected young foliage look unhealthy.
Leaf Blight,"After checking the field, I observed leaves becoming brittle Plant growth is affected."
Stem Borer,Field inspection revealed yellowing above damaged stems.
Downy Mildew,The plants currently have yellow patches on leaves.
Damping Off,The affected plants are showing seedlings collapsing The problem is becoming more noticeable.
Nutrient Deficiency,Several plants have uniform leaf discoloration The plant is losing vigor.
Downy Mildew,The crop shows moist fungal growth Plant growth is slowing.
Downy Mildew,The farmer noticed yellowing foliage with gray growth yesterday The affected leaf undersides are showing damage.
Powdery Mildew,The crop condition includes white spots spreading across leaves Plant growth is affected.
Damping Off,A noticeable problem is dark lesions near the soil line The problem is visible on the seedlings.
Bacterial Leaf Spot,The plants currently have multiple dark spots on leaves The problem is visible on the lower leaves.
Downy Mildew,The crop is developing moist fungal growth The problem is becoming more noticeable.
Downy Mildew,The plants are showing irregular pale patches The affected lower leaves are showing damage.
Powdery Mildew,Several plants have white growth on stems Farmers are concerned about the crop condition.
Downy Mildew,Many plants in the field show irregular pale patches The affected lower leaves are showing damage.
Fungal Wilt,Field inspection revealed persistent wilting The affected stems are showing damage.
Leaf Blight,There is an increasing problem with dark lesions on foliage The problem is visible on the leaf tips.
Rust,"After checking the field, I observed small orange fungal spots Plant growth is affected."
Thrips Infestation,There is an increasing problem with black specks on leaves The problem is becoming more noticeable.
Fusarium Wilt,The crop is developing brown vascular tissue The symptoms are visible across several plants.
Powdery Mildew,"After checking the field, I observed white fungal coating Plant growth is affected."
Powdery Mildew,Several plants have white powder on leaves.
Damping Off,The plants have started showing water soaked seedling stems The symptoms are visible across several plants.
Bacterial Wilt,There is an increasing problem with branches becoming limp The problem is visible on the whole plant.
Root Rot,The plants currently have dark damaged roots The affected plant base are showing damage.
Leaf Blight,The affected plants are showing drying leaf tips The problem is visible on the leaf tips.
Nutrient Deficiency,The affected plants are showing slow plant growth The problem is visible on the leaves.
Bacterial Wilt,Many plants in the field show leaves wilting without obvious dryness The symptoms are visible across several plants.
Rust,The crop appears to have rust colored pustules.
Thrips Infestation,I noticed tiny insects on flowers in the field Farmers are concerned about the crop condition.
Nutrient Deficiency,Many plants in the field show young leaves remaining pale The plant is losing vigor.
Aphid Infestation,The affected plants are showing tiny insects clustered around shoots Farmers are concerned about the crop condition.
Rust,The farmer reports rusty patches on foliage The affected lower foliage are showing damage.
Stem Borer,I noticed larvae inside stems in the field The plant is losing vigor.
Fusarium Wilt,A noticeable problem is one sided wilting The symptoms are visible across several plants.
Fruit Borer,The farmer reports damaged young fruits The problem is visible on the fruit surface.
Whitefly Infestation,A noticeable problem is small white insects on plant leaves The problem is becoming more noticeable.
Fungal Wilt,The plants have started showing leaves wilting gradually The plant is losing vigor.
Downy Mildew,The crop is developing yellow patches on leaves The problem is becoming more noticeable.
Fusarium Wilt,The crop shows leaf curling with wilt The problem is becoming more noticeable.
Powdery Mildew,There are clear signs of white growth on stems Infected foliage is losing its normal color.
Bacterial Leaf Spot,The field currently has plants with tiny dark lesions on young leaves Affected leaves are starting to fall.
Fruit Borer,The field currently has plants with early fruit dropping The symptoms are visible across several plants.
Mosaic Virus,The crop appears to have patchy yellow patterns Farmers are concerned about the crop condition.
Powdery Mildew,The affected plants are showing flour like growth on leaves The affected young shoots look unhealthy.
Bacterial Leaf Spot,I noticed multiple dark spots on leaves in the field Affected leaves are starting to fall.
Bacterial Leaf Spot,The farmer noticed wet looking lesions on foliage yesterday The symptoms are visible across several plants.
Rust,I noticed brown rust marks in the field Plant growth is affected.
Fruit Borer,The crop condition includes caterpillar inside the fruit Plant growth is affected.
Root Rot,The plants currently have soft rotten roots The crop is losing vigor.
Fungal Wilt,The crop shows drooping leaves The plant is slowly declining.
Thrips Infestation,The farmer reports silvery patches on foliage Plant growth is affected.
Stem Borer,The farmer reports frass coming from stem openings The central shoot is dying.
Powdery Mildew,I noticed white powder on leaves in the field The affected upper foliage are showing damage.
Leaf Curl,The plants currently have new growth becoming twisted The affected new shoots look unhealthy.
Thrips Infestation,The affected plants are showing silvery patches on foliage The plant is losing vigor.
Bacterial Wilt,Recently the plants developed leaves wilting without obvious dryness The symptoms are visible across several plants.
Fungal Wilt,A noticeable problem is plant becoming weak Wilting is becoming more severe.
Bacterial Wilt,Field inspection revealed green leaves drooping rapidly The affected leaves are showing damage.
Fusarium Wilt,The farmer reports brown streaks inside stems The affected vascular tissue are showing damage.
Damping Off,I noticed young seedlings suddenly dying in the field.
Fungal Wilt,The main symptom is slow plant decline Farmers are concerned about the crop condition.
Fruit Borer,Several plants have frass near fruit openings Fruits are becoming damaged.
Mosaic Virus,The plants are showing mosaic markings on young leaves Plant growth is affected.
Sooty Mold,The farmer noticed gray black film on leaves yesterday The coating is spreading.
Fusarium Wilt,The crop condition includes brown vascular tissue Older leaves begin to die.
Mosaic Virus,The affected plants are showing yellow green leaf markings The symptoms are visible across several plants.
Fruit Borer,The farmer noticed fruit pulp being eaten yesterday Fruits are becoming damaged.
Rust,The affected plants are showing rusty patches on foliage The affected leaf undersides look unhealthy.
Leaf Blight,There is an increasing problem with leaves becoming brittle The affected leaf margins look unhealthy.
Bacterial Wilt,There is an increasing problem with stem discoloration The symptoms are visible across several plants.
Bacterial Leaf Spot,Recently the plants developed dark brown spots on foliage Infected leaves are drying.
Nutrient Deficiency,The plants currently have pale green foliage The problem is becoming more noticeable.
Leaf Curl,The crop shows abnormally curled plant tips Farmers are concerned about the crop condition.
Whitefly Infestation,There is an increasing problem with small white flies rising when disturbed Leaves are becoming yellow.
Leaf Curl,The field currently has plants with curled leaf margins The plant is losing vigor.
Downy Mildew,Field inspection revealed grayish coating on leaf undersides Plant growth is affected.
Sooty Mold,I noticed black growth on stems in the field The problem is visible on the stems.
